FIPS,state,countyname,year,month,Employment,Labor_Force,Unemployment,Unemployment_Rate
11001,DC,District of Columbia,2015,1,355508,385144,29636,7.7
11001,DC,District of Columbia,2016,1,365418,390828,25410,6.5
11001,DC,District of Columbia,2017,1,364539,390577,26038,6.7
11001,DC,District of Columbia,2018,1,369339,393343,24004,6.1
11001,DC,District of Columbia,2019,1,368078,394346,26268,6.7
11001,DC,District of Columbia,2020,1,381304,403611,22307,5.5
11001,DC,District of Columbia,2021,1,345287,369858,24571,6.6
11001,DC,District of Columbia,2022,1,356734,380671,23937,6.3
11001,DC,District of Columbia,2023,1,373602,392894,19292,4.9
11001,DC,District of Columbia,2015,2,358813,387778,28965,7.5
11001,DC,District of Columbia,2016,2,369441,394944,25503,6.5
11001,DC,District of Columbia,2017,2,367473,393335,25862,6.6
11001,DC,District of Columbia,2018,2,375026,399262,24236,6.1
11001,DC,District of Columbia,2019,2,375904,400006,24102,6
11001,DC,District of Columbia,2020,2,384697,406324,21627,5.3
11001,DC,District of Columbia,2021,2,347965,374162,26197,7
11001,DC,District of Columbia,2022,2,365514,387107,21593,5.6
11001,DC,District of Columbia,2023,2,373060,392256,19196,4.9
11001,DC,District of Columbia,2015,3,358209,385139,26930,7
11001,DC,District of Columbia,2016,3,370536,394966,24430,6.2
11001,DC,District of Columbia,2017,3,368483,392241,23758,6.1
11001,DC,District of Columbia,2018,3,374655,398013,23358,5.9
11001,DC,District of Columbia,2019,3,378875,401857,22982,5.7
11001,DC,District of Columbia,2020,3,377516,402928,25412,6.3
11001,DC,District of Columbia,2021,3,348012,373855,25843,6.9
11001,DC,District of Columbia,2022,3,368965,388830,19865,5.1
11001,DC,District of Columbia,2023,3,371942,391796,19854,5.1
11001,DC,District of Columbia,2015,4,362668,387478,24810,6.4
11001,DC,District of Columbia,2016,4,373093,394838,21745,5.5
11001,DC,District of Columbia,2017,4,370158,391723,21565,5.5
11001,DC,District of Columbia,2018,4,376851,396983,20132,5.1
11001,DC,District of Columbia,2019,4,378607,397902,19295,4.8
11001,DC,District of Columbia,2020,4,349468,389933,40465,10.4
11001,DC,District of Columbia,2021,4,347791,372273,24482,6.6
11001,DC,District of Columbia,2022,4,370349,386488,16139,4.2
11001,DC,District of Columbia,2023,4,369245,386532,17287,4.5
11001,DC,District of Columbia,2015,5,358907,385370,26463,6.9
11001,DC,District of Columbia,2016,5,370327,391901,21574,5.5
11001,DC,District of Columbia,2017,5,370894,393478,22584,5.7
11001,DC,District of Columbia,2018,5,374973,395471,20498,5.2
11001,DC,District of Columbia,2019,5,377509,398176,20667,5.2
11001,DC,District of Columbia,2020,5,341603,374224,32621,8.7
11001,DC,District of Columbia,2021,5,348691,373687,24996,6.7
11001,DC,District of Columbia,2022,5,370956,387666,16710,4.3
11001,DC,District of Columbia,2023,5,372169,391285,19116,4.9
11001,DC,District of Columbia,2015,6,362328,390369,28041,7.2
11001,DC,District of Columbia,2016,6,372149,397958,25809,6.5
11001,DC,District of Columbia,2017,6,369373,394878,25505,6.5
11001,DC,District of Columbia,2018,6,374338,398924,24586,6.2
11001,DC,District of Columbia,2019,6,377515,401068,23553,5.9
11001,DC,District of Columbia,2020,6,345455,378958,33503,8.8
11001,DC,District of Columbia,2021,6,351497,382071,30574,8
11001,DC,District of Columbia,2022,6,372959,392180,19221,4.9
11001,DC,District of Columbia,2023,6,373174,394821,21647,5.5
11001,DC,District of Columbia,2015,7,366447,395610,29163,7.4
11001,DC,District of Columbia,2016,7,374062,400754,26692,6.7
11001,DC,District of Columbia,2017,7,372432,399064,26632,6.7
11001,DC,District of Columbia,2018,7,379153,403730,24577,6.1
11001,DC,District of Columbia,2019,7,383327,407882,24555,6
11001,DC,District of Columbia,2020,7,347912,383285,35373,9.2
11001,DC,District of Columbia,2021,7,359522,389098,29576,7.6
11001,DC,District of Columbia,2022,7,379597,398415,18818,4.7
11001,DC,District of Columbia,2023,7,378532,399680,21148,5.3
11001,DC,District of Columbia,2015,8,361527,389087,27560,7.1
11001,DC,District of Columbia,2016,8,366104,392300,26196,6.7
11001,DC,District of Columbia,2017,8,367801,393312,25511,6.5
11001,DC,District of Columbia,2018,8,365733,388972,23239,6
11001,DC,District of Columbia,2019,8,375562,398340,22778,5.7
11001,DC,District of Columbia,2020,8,350013,382557,32544,8.5
11001,DC,District of Columbia,2021,8,352398,380493,28095,7.4
11001,DC,District of Columbia,2022,8,373359,391193,17834,4.6
11001,DC,District of Columbia,2023,8,373718,395609,21891,5.5
11001,DC,District of Columbia,2015,9,359840,385845,26005,6.7
11001,DC,District of Columbia,2016,9,368083,393765,25682,6.5
11001,DC,District of Columbia,2017,9,371426,395269,23843,6
11001,DC,District of Columbia,2018,9,369085,390104,21019,5.4
11001,DC,District of Columbia,2019,9,379389,399907,20518,5.1
11001,DC,District of Columbia,2020,9,346112,379621,33509,8.8
11001,DC,District of Columbia,2021,9,354036,379524,25488,6.7
11001,DC,District of Columbia,2022,9,372724,388623,15899,4.1
11001,DC,District of Columbia,2023,9,378088,399274,21186,5.3
11001,DC,District of Columbia,2015,10,363839,389830,25991,6.7
11001,DC,District of Columbia,2016,10,373937,398941,25004,6.3
11001,DC,District of Columbia,2017,10,368135,390774,22639,5.8
11001,DC,District of Columbia,2018,10,371705,392884,21179,5.4
11001,DC,District of Columbia,2019,10,377000,397716,20716,5.2
11001,DC,District of Columbia,2020,10,348940,380243,31303,8.2
11001,DC,District of Columbia,2021,10,356069,380370,24301,6.4
11001,DC,District of Columbia,2022,10,370346,386974,16628,4.3
11001,DC,District of Columbia,2023,10,380099,401044,20945,5.2
11001,DC,District of Columbia,2015,11,364845,389854,25009,6.4
11001,DC,District of Columbia,2016,11,372181,395547,23366,5.9
11001,DC,District of Columbia,2017,11,371758,393296,21538,5.5
11001,DC,District of Columbia,2018,11,374092,394296,20204,5.1
