Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
06/28/2023,01/01/2020,06/24/2023,AK,Aleutians East Borough,2013,Noncore,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Anchorage Municipality,2020,Medium metro,775,8869,
06/28/2023,01/01/2020,06/24/2023,AK,Bethel Census Area,2050,Noncore,40,395,
06/28/2023,01/01/2020,06/24/2023,AK,Denali Borough,2068,Noncore,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Dillingham Census Area,2070,Noncore,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Fairbanks North Star Borough,2090,Small metro,206,2117,
06/28/2023,01/01/2020,06/24/2023,AK,Hoonah-Angoon Census Area,2105,Noncore,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Juneau City and Borough,2110,Micropolitan,18,658,
06/28/2023,01/01/2020,06/24/2023,AK,Kenai Peninsula Borough,2122,Noncore,91,1487,
06/28/2023,01/01/2020,06/24/2023,AK,Ketchikan Gateway Borough,2130,Micropolitan,17,365,
06/28/2023,01/01/2020,06/24/2023,AK,Kodiak Island Borough,2150,Noncore,,238,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Matanuska-Susitna Borough,2170,Medium metro,241,2624,
06/28/2023,01/01/2020,06/24/2023,AK,Nome Census Area,2180,Noncore,,214,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,North Slope Borough,2185,Noncore,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Northwest Arctic Borough,2188,Noncore,10,173,
06/28/2023,01/01/2020,06/24/2023,AK,Petersburg Census Area,2195,Noncore,,81,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Sitka City and Borough,2220,Noncore,10,221,
06/28/2023,01/01/2020,06/24/2023,AK,Skagway Municipality,2230,Noncore,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Southeast Fairbanks Census Area,2240,Noncore,,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Valdez-Cordova Census Area,2261,Noncore,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Wade Hampton Census Area,2270,Noncore,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Wrangell City and Borough,2275,Noncore,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AK,Yukon-Koyukuk Census Area,2290,Noncore,,138,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,AL,Autauga County,1001,Medium metro,194,1811,
06/28/2023,01/01/2020,06/24/2023,AL,Baldwin County,1003,Small metro,649,8474,
06/28/2023,01/01/2020,06/24/2023,AL,Barbour County,1005,Noncore,80,970,
06/28/2023,01/01/2020,06/24/2023,AL,Bibb County,1007,Large fringe metro,47,676,
06/28/2023,01/01/2020,06/24/2023,AL,Blount County,1009,Large fringe metro,102,1830,
06/28/2023,01/01/2020,06/24/2023,AL,Bullock County,1011,Noncore,10,336,
06/28/2023,01/01/2020,06/24/2023,AL,Butler County,1013,Noncore,83,894,
06/28/2023,01/01/2020,06/24/2023,AL,Calhoun County,1015,Small metro,663,5896,
06/28/2023,01/01/2020,06/24/2023,AL,Chambers County,1017,Micropolitan,59,1183,
06/28/2023,01/01/2020,06/24/2023,AL,Cherokee County,1019,Noncore,49,981,
06/28/2023,01/01/2020,06/24/2023,AL,Chilton County,1021,Large fringe metro,77,1372,
06/28/2023,01/01/2020,06/24/2023,AL,Choctaw County,1023,Noncore,28,439,
06/28/2023,01/01/2020,06/24/2023,AL,Clarke County,1025,Noncore,38,950,
06/28/2023,01/01/2020,06/24/2023,AL,Clay County,1027,Noncore,56,652,
06/28/2023,01/01/2020,06/24/2023,AL,Cleburne County,1029,Noncore,28,519,
06/28/2023,01/01/2020,06/24/2023,AL,Coffee County,1031,Micropolitan,201,1846,
06/28/2023,01/01/2020,06/24/2023,AL,Colbert County,1033,Small metro,346,2629,
06/28/2023,01/01/2020,06/24/2023,AL,Conecuh County,1035,Noncore,41,478,
06/28/2023,01/01/2020,06/24/2023,AL,Coosa County,1037,Micropolitan,11,317,
06/28/2023,01/01/2020,06/24/2023,AL,Covington County,1039,Noncore,261,2048,
06/28/2023,01/01/2020,06/24/2023,AL,Crenshaw County,1041,Noncore,62,631,
06/28/2023,01/01/2020,06/24/2023,AL,Cullman County,1043,Micropolitan,415,4040,
