GEOID,NAME,Median_age,Total_population,Renters_occupied_percentage,Bachelors_percentage,Highschool_graduate_percentage,Below_highschool_percentage,White_alone_percentage,Black_or_African_American_percentage,Hispanic_or_Latino_percentage,American_Indian_and_Alaska_Native_percentage,Asian_percentage,Native_Hawaiian_and_other_Pacific_Island_percentage,Some_other_race_alone_percentage,Two_or_more_races_percentage,White_alone_not_hispanic_or_latino_percentage,Male_female_ratio,Areaname,Land_Area,popul_density
1001,"Autauga County, Alabama",38.6,55639,24.22586521,11.35893887,21.3519294,7.679864843,75.75621417,19.52946674,2.877478028,0.27858157,1.166447995,0.043135211,0.67219037,2.553963946,2.877478028,0.946304264,"Autauga, AL",594.44,93.59901756
1003,"Baldwin County, Alabama",43.2,218289,21.00915885,14.404757,19.36515353,6.790539148,85.43902808,8.774148033,4.556803137,0.693575947,0.931334149,0.004581083,1.556651961,2.600680749,4.556803137,0.942072954,"Baldwin, AL",1589.78,137.3076778
1005,"Barbour County, Alabama",40.1,25026,37.13097523,5.178614241,25.41756573,17.96931192,46.29984816,47.66642692,4.435387197,0.3516343,0.487493007,0.003995844,3.104771038,2.085830736,4.435387197,1.108340354,"Barbour, AL",884.88,28.28180092
1007,"Bibb County, Alabama",39.9,22374,22.36971003,5.287387146,32.20702601,13.658711,76.59783677,22.54849379,2.681684098,0.053633682,0.250290516,0,0.040225261,0.509519979,2.681684098,1.161321484,"Bibb, AL",622.58,35.93755019
1009,"Blount County, Alabama",41,57755,20.28621908,6.129339451,24.19703922,11.83966756,93.96762185,1.399013072,9.284044671,0.09522985,0.40862263,0.09522985,1.79551554,2.238767206,9.284044671,0.986209505,"Blount, AL",644.78,89.57318775
1011,"Bullock County, Alabama",39.7,10173,31.95674562,4.059766047,27.61230709,16.71090141,26.17713555,68.61299518,8.099872211,0,1.346702054,0,3.125921557,0.73724565,8.099872211,1.213928183,"Bullock, AL",622.81,16.33403446
1013,"Butler County, Alabama",41.2,19726,27.82060631,7.076954274,32.57122579,9.560985501,51.62222448,44.58582581,1.470140931,0.334583798,1.323126838,0,0.496806246,1.63743283,1.470140931,0.847695766,"Butler, AL",776.83,25.39294311
1015,"Calhoun County, Alabama",39.5,114324,29.41727443,7.256569049,23.79465379,10.31017109,73.30131906,21.15916168,3.853958924,0.313145096,0.80910395,0.28602918,1.636576747,2.494664287,3.853958924,0.924678867,"Calhoun, AL",605.87,188.6939442
1017,"Chambers County, Alabama",41.9,33427,31.87154272,7.452059712,26.41278009,12.38519759,56.88515272,40.00358991,2.521913423,0.242319083,1.100906453,0.026924343,0.789780716,0.951326772,2.521913423,0.910223441,"Chambers, AL",596.53,56.03574003
1019,"Cherokee County, Alabama",46.8,26035,18.89115433,4.616861917,28.78816977,12.62915306,92.0683695,4.801229115,1.659304782,0.576147494,0.099865566,0,0.814288458,1.640099866,1.659304782,0.978343465,"Cherokee, AL",553.7,47.02004696
1021,"Chilton County, Alabama",39.5,44147,24.31256045,5.597209323,29.60563572,12.4244003,82.13468639,9.66770109,7.753641244,1.141640429,0.441706118,0,3.558565701,3.055700274,7.753641244,0.951076148,"Chilton, AL",692.85,63.71797647
1023,"Choctaw County, Alabama",46.6,12755,19.21779634,5.96628773,26.23284986,12.56762054,56.86397491,42.32065857,0.540964328,0.054880439,0.196001568,0,0.08624069,0.478243826,0.540964328,0.897218504,"Choctaw, AL",913.5,13.96278051
1025,"Clarke County, Alabama",42.9,23866,20.80735996,5.870275706,29.08740468,12.16793765,52.45956591,45.70937736,0.586608564,0.075421101,0.456716668,0,0.196932875,1.101986089,0.586608564,0.906686906,"Clarke, AL",1238.47,19.27055157
1027,"Clay County, Alabama",43.4,13285,21.54119648,5.336846067,28.23485134,13.21791494,83.31200602,15.31802785,3.086187429,0.150545728,0.248400452,0,0.045163718,0.925856229,3.086187429,0.92899666,"Clay, AL",603.96,21.99648983
1029,"Cleburne County, Alabama",43.1,14952,20.6345957,7.497324773,27.04654896,12.55350455,93.33199572,2.635098983,2.541466025,0.140449438,0.006688068,0,1.879347245,2.006420546,2.541466025,0.94586153,"Cleburne, AL",560.1,26.69523299
1031,"Coffee County, Alabama",39.5,52238,33.19421585,9.55817604,18.9057774,9.874038057,74.68509514,17.04889161,7.678318465,1.001186875,1.613767755,0,1.292162793,4.358895823,7.678318465,0.976989744,"Coffee, AL",678.97,76.93712535
1033,"Colbert County, Alabama",42.5,54957,25.75298686,7.756973634,26.29692305,10.1715887,78.75065961,16.21085576,2.894990629,0.569536183,0.513128446,0.103717452,1.792310352,2.059792201,2.894990629,0.92770704,"Colbert, AL",592.62,92.73564848
1035,"Conecuh County, Alabama",45.2,12219,24.68474409,5.949750389,33.75890007,10.86831983,50.54423439,48.05630575,0.482854571,0.163679516,0.572878304,0,0,0.662902038,0.482854571,0.949425654,"Conecuh, AL",850.16,14.37258869
1037,"Coosa County, Alabama",49,10696,18.96820753,6.16118175,32.55422588,13.0329095,65.93118923,32.26439791,1.280852655,0.299177263,0,0,0.635751683,0.869483919,1.280852655,1.058110448,"Coosa, AL",650.93,16.4318744
1039,"Covington County, Alabama",43.3,37096,23.21064821,6.617964201,26.47994393,10.41621738,84.26784559,12.68869959,1.77108044,0.210265258,0.660448566,0.08626267,0.358529221,1.727949105,1.77108044,0.946070717,"Covington, AL",1030.46,35.99945655
1041,"Crenshaw County, Alabama",42.3,13826,23.91207815,9.192825112,26.73947635,14.83437003,71.53189643,23.6293939,2.205988717,0.752205989,1.32359323,0.057861999,0.419499494,2.285548966,2.205988717,0.910460135,"Crenshaw, AL",608.84,22.70875764
1043,"Cullman County, Alabama",41.2,83345,23.60393951,7.065810786,22.49325094,12.36066951,93.94084828,1.131441598,4.410582518,0.353950447,0.364748935,0,0.909472674,3.299538065,4.410582518,0.971915961,"Cullman, AL",734.84,113.4192477
